Title,"PostTrak
Film
Type","Release
Date",Genre,Rating,Dist,"Opening
Wknd
Gross","Opening
Day
Gross",Cume,"Locs
at
Opening","Locs
at
Widest
Release","Polling
Wk",Index,"Definitely
Recommend","Total
Polled","General
Total
;
How
would
you
rate
the
film?
1
-
Excellent"
Teenage Mutant Ninja Turtles: Mutant Mayhem,Hybrid,8/2/2023,ANI,PG,PAR,28007544,10202275,118700272,3513,3950,1,87,70%,1300,60%
Haunted Mansion,Hybrid,7/28/2023,COM,PG13,DIS,24082475,9991427,67653287,3740,3740,1,81,59%,1249,46%
Barbie,Hybrid,7/21/2023,COM,PG13,WB,162022044,70503178,636238421,4243,4337,1,88,79%,1233,69%
Oppenheimer,General,7/21/2023,DRA,R,UNI,82455420,33017635,329862540,3610,3761,1,90,72%,818,68%
Mission: Impossible - Dead Reckoning Part One,General,7/12/2023,ACT,PG13,PAR,54688347,15516660,172640980,4049,4327,1,88,69%,804,65%
Joy Ride,General,7/7/2023,COM,R,LGF,5806277,2611969,12897789,2820,2820,1,81,60%,807,49%
Insidious: The Red Door,General,7/7/2023,HOR,PG13,SNY,33013036,15203849,82156962,3188,3188,1,74,53%,801,39%
Sound of Freedom,General,7/4/2023,ACT,PG13,ANGEL,19680879,14242063,184178046,2634,3411,1,94,83%,800,83%
Indiana Jones and the Dial of Destiny,Hybrid,6/30/2023,ADV,PG13,DIS,60368101,23682998,174480468,4600,4600,1,80,61%,1234,48%
"Ruby Gillman, Teenage Kraken",Family,6/30/2023,ANI,PG,UNI,5500990,2339895,15753600,3400,3408,1,77,44%,1126,37%
No Hard Feelings,General,6/23/2023,COM,R,SNY,15002770,6352471,50452282,3208,3208,1,80,56%,801,42%
Elemental,Family,6/16/2023,ANI,PG,DIS,29602429,11704094,154426697,4035,4035,1,85,66%,1211,60%
"Flash, The",Hybrid,6/16/2023,ACT,PG13,WB,55043679,24133354,108167507,4234,4256,1,79,58%,1204,47%
"Blackening, The",General,6/16/2023,COM,R,LGF,6013131,2572947,17707207,1775,1775,1,81,58%,814,48%
Asteroid City,General,6/16/2023,COM,PG13,FOC,853382,360638,28153025,6,1901,1,77,47%,800,41%
Transformers: Rise of the Beasts,Hybrid,6/9/2023,ACT,PG13,PAR,61045464,25649418,157341749,3678,3680,1,84,68%,1225,57%
Spider-Man: Across The Spider-Verse,Family,6/2/2023,ANI,PG,SNY,120663589,51808109,381593754,4313,4332,1,92,82%,1221,75%
"Boogeyman, The",General,6/2/2023,HOR,PG13,20TH,12356486,4837666,43244282,3205,3205,1,72,45%,846,33%
"Little Mermaid, The",Family,5/26/2023,MUS,PG,DIS,95578040,38149001,298172056,4320,4320,1,88,75%,1428,65%
About My Father,General,5/26/2023,COM,PG13,LGF,4321148,1464923,12089391,2464,2464,1,78,56%,408,38%
"Machine, The",General,5/26/2023,ACT,R,SNY,5000545,2220804,10458331,2409,2409,1,80,63%,254,48%
You Hurt My Feelings,General,5/26/2023,COM,R,A24,1396448,474240,4830789,912,912,1,73,43%,122,33%
Kandahar,General,5/26/2023,ACT,R,OPRD/BCLF,2325388,921019,4813132,2105,2105,1,79,46%,120,41%
Fast X,Hybrid,5/19/2023,ACT,PG13,UNI,67017410,28015320,146126015,4046,4088,1,81,64%,1205,53%
Book Club: The Next Chapter,General,5/12/2023,COM,PG13,FOC,6677580,2142255,17581565,3508,3513,1,81,57%,472,46%
Hypnotic,General,5/12/2023,ACT,R,EMICK,2401686,936501,4500169,2118,2118,1,68,34%,241,26%
Rally Road Racers,Family,5/12/2023,ANI,PG,VIVA,419717,87284,721303,1250,1250,1,68,34%,93,34%
Guardians of the Galaxy Vol. 3,Hybrid,5/5/2023,ACT,PG13,DIS,118414021,48103839,358995815,4450,4450,1,90,80%,1206,68%
Love Again,General,5/5/2023,ROMANCE,PG13,SNY,2380962,951937,6230837,2703,2703,1,80,57%,318,43%
"Are You There God? It's Me, Margaret.",Hybrid,4/28/2023,FAM,PG13,LGF,6739037,2247219,20372406,3343,3343,1,87,72%,670,61%
Sisu,General,4/28/2023,ACT,R,LGF,3330891,1384689,7265622,1006,1006,1,82,62%,669,51%
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,General,4/28/2023,DRA,PG13,SNY,2925364,1031785,5426772,3054,3054,1,86,71%,367,57%
Polite Society,General,4/28/2023,COM,PG13,FOC,817740,278305,1595585,927,927,1,84,68%,245,55%
Evil Dead Rise,General,4/21/2023,HOR,R,WB,24504315,10348229,67356372,3402,3417,1,74,55%,811,40%
Guy Ritchie's The Covenant,General,4/21/2023,ACT,R,MGM,6380188,2259928,16938039,2611,2631,1,91,79%,470,71%
Chevalier,General,4/21/2023,DRA,PG13,SL,1521288,541000,3541159,1275,1281,1,89,73%,291,66%
Suzume,General,4/14/2023,ANI,PG,Crunchyroll/Sony,5001705,2143020,10932037,2170,2170,1,89,74%,806,68%
Renfield,General,4/14/2023,HOR,R,UNI,8026475,3185120,17297895,3375,3378,1,77,56%,800,40%
"Pope's Exorcist, The",General,4/14/2023,HOR,R,SNY,9006368,3465715,20009380,3178,3178,1,75,56%,628,40%
Beau is Afraid,General,4/14/2023,ADV,R,A24,320396,141091,7436588,4,2125,1,69,35%,550,33%
Mafia Mamma,General,4/14/2023,COM,R,BST,2032202,868978,3786326,2002,2002,1,72,48%,216,34%
Nefarious,General,4/14/2023,SUS,R,IND,1316266,504046,5433686,933,933,1,82,63%,146,57%
Sweetwater,General,4/14/2023,DRA,PG13,BCLF,351010,128385,541633,1204,1204,1,80,56%,70,50%
Paint,General,4/7/2023,COM,PG13,IFC,570512,315993,811739,819,819,1,67,45%,105,31%
"Super Mario Bros. Movie, The",Hybrid,4/5/2023,ANI,PG,UNI,146361865,31702735,574934330,4025,4371,1,87,74%,1240,63%
Air (2023),General,4/5/2023,DRA,R,MGM,14456279,3294826,52460106,3507,3507,1,90,80%,817,68%
Dungeons & Dragons: Honor Among Thieves,Hybrid,3/31/2023,ADV,PG13,PAR,37205784,15222358,93549650,3855,3856,1,87,75%,1226,59%
His Only Son,General,3/31/2023,DRA,PG13,ANGEL,5501070,2199360,12392740,1920,1930,1,90,80%,542,72%
"Thousand and One, A",General,3/31/2023,DRA,R,FOC,1795695,703495,3400020,926,926,1,81,64%,251,52%
