
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
35-39,male,Transformers: Rise of the Beasts,"13,151"
35-39,male,Extraction 2,"13,113"
30-34,female,Dune: Part Two,"13,063"
40-44,female,Wonka,"13,053"
50-54,female,The Hunger Games: The Ballad of Songbirds & Snakes,"13,053"
50-54,male,Gladiator II,"13,047"
45-49,male,Blue Beetle,"12,992"
45-49,male,Alien: Romulus,"12,967"
40-44,male,Gladiator II,"12,934"
45-49,female,The Hunger Games: The Ballad of Songbirds & Snakes,"12,903"
18-24,male,Madame Web,"12,893"
25-29,female,Dune: Part Two,"12,882"
35-39,female,The Hunger Games: The Ballad of Songbirds & Snakes,"12,842"
50-54,male,Furiosa: A Mad Max Saga,"12,816"
25-29,male,Shazam! Fury of the Gods,"12,813"
50-54,male,The Equalizer 3,"12,803"
40-44,male,Furiosa: A Mad Max Saga,"12,796"
45-49,male,Gladiator II,"12,779"
50-54,female,A Man Called Otto,"12,763"
18-24,male,Mickey 17,"12,748"
35-39,female,Dune: Part Two,"12,702"
45-49,male,Furiosa: A Mad Max Saga,"12,680"
25-29,female,No Hard Feelings,"12,610"
18-24,male,How to Train Your Dragon,"12,561"
35-39,male,The Hunger Games: The Ballad of Songbirds & Snakes,"12,537"
35-39,female,Wonka,"12,483"
45-49,female,Dune: Part Two,"12,457"
25-29,male,Transformers: Rise of the Beasts,"12,344"
18-24,male,Wicked,"12,300"
45-49,female,A Man Called Otto,"12,268"
45-49,male,The Equalizer 3,"12,236"
30-34,male,Aquaman and The Lost Kingdom,"12,221"
50-54,male,Blue Beetle,"12,157"
35-39,male,Gladiator II,"12,155"
50-54,female,Dune: Part Two,"12,114"
35-39,male,Blue Beetle,"12,035"
40-44,female,Dune: Part Two,"11,949"
50-54,male,Alien: Romulus,"11,938"
50-54,male,65,"11,929"
25-29,male,No Hard Feelings,"11,859"
30-34,female,Saltburn,"11,833"
18-24,male,Furiosa: A Mad Max Saga,"11,803"
50-54,male,A Man Called Otto,"11,802"
30-34,male,Wonka,"11,765"
30-34,male,Mission: Impossible – Dead Reckoning Part One,"11,762"
35-39,male,Furiosa: A Mad Max Saga,"11,757"
18-24,female,Evil Dead Rise,"11,749"
40-44,male,Alien: Romulus,"11,624"
30-34,male,Transformers: Rise of the Beasts,"11,542"
45-49,female,John Wick: Chapter 4,"11,465"
25-29,male,Aquaman and The Lost Kingdom,"11,462"
18-24,female,How to Train Your Dragon,"11,424"
25-29,female,Wicked,"11,393"
30-34,male,Extraction 2,"11,358"
18-24,male,Alien: Romulus,"11,342"
25-29,male,Mission: Impossible – Dead Reckoning Part One,"11,317"
50-54,male,The Hunger Games: The Ballad of Songbirds & Snakes,"11,269"
40-44,female,The Hunger Games: The Ballad of Songbirds & Snakes,"11,266"
40-44,male,The Hunger Games: The Ballad of Songbirds & Snakes,"11,263"
45-49,male,A Man Called Otto,"11,218"
40-44,male,The Equalizer 3,"11,213"
30-34,female,No Hard Feelings,"11,207"
45-49,male,The Hunger Games: The Ballad of Songbirds & Snakes,"11,161"
45-49,male,65,"11,157"
25-29,male,Extraction 2,"11,147"
45-49,female,Murder Mystery 2,"11,142"
30-34,male,Blue Beetle,"11,086"
18-24,male,Saw X,"11,012"
30-34,female,Poor Things,"10,908"
45-49,male,Wonka,"10,905"
25-29,male,Blue Beetle,"10,905"
25-29,female,Poor Things,"10,895"
50-54,male,Madame Web,"10,879"
18-24,male,Final Destination: Bloodlines,"10,844"
40-44,female,A Man Called Otto,"10,824"
45-49,female,Saltburn,"10,766"
45-49,male,The Fall Guy,"10,751"
18-24,male,Bad Boys: Ride or Die,"10,750"
18-24,female,Beetlejuice Beetlejuice,"10,748"
45-49,male,Madame Web,"10,686"
50-54,male,Wonka,"10,678"
50-54,male,The Fall Guy,"10,663"
50-54,female,John Wick: Chapter 4,"10,653"
30-34,male,Gladiator II,"10,649"
45-49,female,Fast X,"10,647"
