
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
The Farewell,female,25-29,993
Dream Scenario,female,35-39,990
Under the Silver Lake,male,50-54,988
C'mon C'mon,male,18-24,988
Equals,female,50-54,987
The Lodge,male,25-29,979
It Comes at Night,female,45-49,975
Bring Her Back,female,50-54,973
Causeway,female,45-49,968
The Florida Project,male,40-44,965
Ingrid Goes West,female,30-34,962
Beach Rats,male,25-29,962
Good Time,female,25-29,961
The Bad Batch,male,50-54,955
Mid90s,female,25-29,954
Swiss Army Man,male,45-49,952
The Florida Project,male,35-39,944
Eighth Grade,female,25-29,940
Spring Breakers,female,50-54,933
Ingrid Goes West,female,25-29,932
The Farewell,female,35-39,930
Swiss Army Man,male,50-54,930
Queer,male,25-29,918
Under the Silver Lake,male,45-49,904
Tusk,male,25-29,885
The Bad Batch,male,45-49,882
The Florida Project,male,45-49,878
Laggies,female,30-34,874
Sharper,male,18-24,871
Green Room,male,18-24,868
Dark Places,female,45-49,865
Ingrid Goes West,female,35-39,859
The Farewell,male,25-29,854
Dark Places,female,50-54,854
Tusk,male,30-34,852
Good Time,male,45-49,852
Dream Scenario,female,30-34,850
Swiss Army Man,female,40-44,844
Good Time,male,40-44,844
Barely Lethal,female,30-34,842
It Comes at Night,male,50-54,839
The Farewell,male,30-34,838
The Spectacular Now,male,30-34,837
Laggies,female,18-24,831
The Farewell,female,40-44,827
Dream Scenario,female,18-24,826
Causeway,male,18-24,826
Under the Silver Lake,male,30-34,826
The Bad Batch,male,40-44,821
Under the Silver Lake,female,18-24,821
Equals,female,40-44,820
Sharper,male,25-29,811
Green Room,male,45-49,811
It Comes at Night,female,40-44,810
Sharper,female,25-29,804
Laggies,female,25-29,802
It Comes at Night,female,35-39,801
Causeway,male,40-44,798
Tusk,female,45-49,797
Sharper,female,18-24,794
Tusk,female,35-39,785
Queer,male,30-34,785
Mid90s,male,30-34,785
Waves,female,45-49,783
Tusk,female,25-29,782
Under the Silver Lake,male,40-44,773
Warfare,female,18-24,766
Green Room,male,25-29,761
Good Time,male,50-54,754
Waves,female,40-44,754
Green Room,male,35-39,754
The Florida Project,male,50-54,752
Dark Places,female,40-44,750
Causeway,male,35-39,747
Under the Silver Lake,male,35-39,747
Mid90s,male,45-49,742
It Comes at Night,female,30-34,739
Dream Scenario,female,50-54,739
