
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Marty Supreme,female,18-24,1
Onslaught,female,30-34,1
The Wrong Girls,female,18-24,1
Wizards!,male,18-24,1
Mother Mary,female,30-34,1
The Backrooms,female,30-34,1
Reggie Watts: Spatial,female,30-34,1
Famous,male,35-39,1
Brides,female,30-34,1
The Drama,female,30-34,1
The Drama,male,25-29,1
The Actor,female,35-39,1
Death Stranding,male,25-29,1
Jerry Lee Lewis: Trouble in Mind,male,25-29,1
The Backrooms,female,18-24,1
Victorian Psycho,male,25-29,0
Marty Supreme,female,25-29,0
Victorian Psycho,male,18-24,0
The Backrooms,male,25-29,0
Reggie Watts: Spatial,male,25-29,0
Death Stranding,female,18-24,0
Jerry Lee Lewis: Trouble in Mind,female,25-29,0
The Backrooms,female,25-29,0
Death Stranding,female,25-29,0
Drew Michael,female,25-29,0
Misty Green,male,25-29,0
Huntington,male,40-44,0
The Wives,female,30-34,0
Famous,female,50-54,0
The Land of Nod,male,25-29,0
I Love Boosters,male,30-34,0
The Backrooms,male,40-44,0
The Wrong Girls,female,25-29,0
The Land of Nod,male,45-49,0
Famous,female,45-49,0
Mother Mary,male,45-49,0
The Backrooms,female,35-39,0
Elden Ring,female,35-39,0
Breakthrough,female,35-39,0
If I Had Legs I’d Kick You,female,40-44,0
Drew Michael,female,18-24,0
Famous,female,18-24,0
The Riders,male,25-29,0
Elden Ring,male,45-49,0
The Moment,male,25-29,0
I Love Boosters,female,18-24,0
Reggie Watts: Spatial,female,18-24,0
The Drama,male,45-49,0
Brides,female,18-24,0
The Moment,male,30-34,0
Enemies,female,30-34,0
Brides,male,18-24,0
Checkmate,male,18-24,0
Deep Cuts,female,25-29,0
Peaked,female,25-29,0
Deep Cuts,female,40-44,0
Victorian Psycho,female,25-29,0
The Land of Nod,female,40-44,0
If I Had Legs I’d Kick You,male,45-49,0
Eternity,male,45-49,0
Famous,male,40-44,0
Death Stranding,female,40-44,0
Elden Ring,male,30-34,0
The Moment,male,35-39,0
Elden Ring,male,40-44,0
Huntington,male,35-39,0
Mother Mary,male,30-34,0
I Love Boosters,female,25-29,0
Why Don’t You Love Me?,male,35-39,0
Peaked,female,18-24,0
Marty Supreme,female,40-44,0
Brides,female,50-54,0
Altar,male,35-39,0
The Riders,male,50-54,0
Onslaught,male,25-29,0
Old Pals,male,35-39,0
Breakthrough,female,50-54,0
Wizards!,male,25-29,0
Onslaught,female,35-39,0
Checkmate,male,30-34,0
Enemies,female,25-29,0
The Moment,male,18-24,0
Onslaught,female,40-44,0
Breakthrough,male,40-44,0
Why Don’t You Love Me?,male,18-24,0
Brides,male,35-39,0
Checkmate,female,18-24,0
The Masque of the Red Death,female,18-24,0
Altar,male,40-44,0
Marty Supreme,female,50-54,0
Death Stranding,female,50-54,0
The Masque of the Red Death,female,25-29,0
Famous,male,18-24,0
Deep Cuts,female,35-39,0
The Land of Nod,male,40-44,0
Breakthrough,female,30-34,0
If I Had Legs I’d Kick You,male,40-44,0
The Wrong Girls,male,25-29,0
The Wives,male,25-29,0
Old Pals,male,25-29,0
The Drama,male,35-39,0
Wizards!,male,40-44,0
Wizards!,female,30-34,0
Breakthrough,male,18-24,0
A Glimpse Inside the Mind of Charles Swan III,female,45-49,0
The Moment,male,40-44,0
Peaked,male,25-29,0
Enemies,male,18-24,0
Brides,male,25-29,0
Enemies,male,25-29,0
Famous,male,30-34,0
The Riders,male,35-39,0
If I Had Legs I’d Kick You,female,50-54,0
Why Don’t You Love Me?,male,40-44,0
The B-Side: Elsa Dorfman's Portrait Photography,female,50-54,0
The Wrong Girls,female,30-34,0
Enemies,female,18-24,0
Airman,male,18-24,0
Deep Cuts,female,18-24,0
The Riders,female,18-24,0
Old Pals,female,25-29,0
Jerry Lee Lewis: Trouble in Mind,male,18-24,0
Mother Mary,male,35-39,0
Onslaught,female,18-24,0
Why Don’t You Love Me?,male,30-34,0
Onslaught,male,40-44,0
Famous,female,25-29,0
Breakthrough,male,30-34,0
Deep Cuts,male,30-34,0
Wizards!,female,25-29,0
Mother Mary,female,50-54,0
Deep Cuts,male,25-29,0
I Love Boosters,female,35-39,0
Huntington,female,35-39,0
Wizards!,male,35-39,0
Victorian Psycho,male,35-39,0
The Drama,male,40-44,0
Famous,male,45-49,0
Why Don’t You Love Me?,male,25-29,0
Huntington,female,40-44,0
Famous,male,25-29,0
Elden Ring,male,25-29,0
Elden Ring,female,18-24,0
Old Pals,male,30-34,0
Victorian Psycho,female,18-24,0
Checkmate,male,45-49,0
Huntington,female,25-29,0
Why Don’t You Love Me?,female,40-44,0
Old Pals,female,40-44,0
Enemies,male,35-39,0
The Wives,female,40-44,0
The Wives,male,30-34,0
The Wives,female,50-54,0
I Love Boosters,male,40-44,0
The Wives,male,18-24,0
Enemies,male,30-34,0
Eternity,male,50-54,0
Deep Cuts,male,18-24,0
Marty Supreme,male,30-34,0
The Land of Nod,male,35-39,0
Drew Michael,male,18-24,0
The Moment,female,25-29,0
Jerry Lee Lewis: Trouble in Mind,male,40-44,0
The Riders,male,40-44,0
The Wives,male,45-49,0
Brides,female,35-39,0
I Love Boosters,male,35-39,0
Mother Mary,female,40-44,0
The Masque of the Red Death,male,18-24,0
The Masque of the Red Death,male,25-29,0
Old Pals,male,45-49,0
Famous,female,40-44,0
The Drama,male,30-34,0
Marty Supreme,male,45-49,0
Elden Ring,female,30-34,0
The Drama,female,50-54,0
Death Stranding,female,45-49,0
Mother Mary,male,25-29,0
Victorian Psycho,female,50-54,0
Deep Cuts,female,50-54,0
Victorian Psycho,female,45-49,0
The Wrong Girls,female,35-39,0
Why Don’t You Love Me?,female,30-34,0
Elden Ring,male,18-24,0
Old Pals,female,18-24,0
Famous,female,30-34,0
Marty Supreme,male,25-29,0
Marty Supreme,male,35-39,0
The Moment,female,35-39,0
Elden Ring,female,25-29,0
Deep Cuts,female,45-49,0
Victorian Psycho,female,30-34,0
The Masque of the Red Death,male,35-39,0
Onslaught,male,18-24,0
Krisha,female,50-54,0
Peaked,male,50-54,0
Huntington,female,18-24,0
Huntington,male,50-54,0
The Wives,female,18-24,0
Mother Mary,male,40-44,0
The Moment,female,18-24,0
Victorian Psycho,male,50-54,0
The Drama,female,45-49,0
The Masque of the Red Death,female,30-34,0
Brides,male,30-34,0
Jerry Lee Lewis: Trouble in Mind,male,35-39,0
Altar,male,45-49,0
Altar,male,25-29,0
Misty Green,male,30-34,0
Checkmate,female,25-29,0
Huntington,male,18-24,0
The Backrooms,male,30-34,0
The Last Movie Star,female,45-49,0
Peaked,female,45-49,0
The Riders,female,45-49,0
Old Pals,male,18-24,0
The Wives,female,45-49,0
Marty Supreme,female,45-49,0
Onslaught,male,30-34,0
Why Don’t You Love Me?,female,18-24,0
Mother Mary,female,18-24,0
I Love Boosters,male,18-24,0
Why Don’t You Love Me?,female,25-29,0
Victorian Psycho,male,30-34,0
Airman,male,25-29,0
Famous,female,35-39,0
Brides,female,40-44,0
Huntington,female,45-49,0
The Actor,female,50-54,0
Death Stranding,male,50-54,0
Misty Green,female,40-44,0
Onslaught,male,45-49,0
The Backrooms,male,45-49,0
Elden Ring,female,40-44,0
The Riders,male,18-24,0
The Wrong Girls,male,18-24,0
Mother Mary,male,50-54,0
Huntington,female,50-54,0
The Backrooms,female,40-44,0
The Wrong Girls,female,40-44,0
I Love Boosters,male,25-29,0
The Moment,female,45-49,0
The Riders,female,25-29,0
Onslaught,male,35-39,0
Victorian Psycho,male,40-44,0
The Backrooms,male,50-54,0
Death Stranding,female,30-34,0
Checkmate,male,50-54,0
I Love Boosters,male,45-49,0
The Wives,female,35-39,0
The Wives,male,50-54,0
Deep Cuts,female,30-34,0
The Wives,female,25-29,0
Jerry Lee Lewis: Trouble in Mind,female,30-34,0
The Masque of the Red Death,male,30-34,0
Brides,female,25-29,0
Huntington,male,25-29,0
Breakthrough,male,25-29,0
The Wives,male,35-39,0
The Wrong Girls,male,30-34,0
Elden Ring,female,50-54,0
Going Infinite,male,30-34,0
The Wrong Girls,male,35-39,0
I Love Boosters,female,40-44,0
Breakthrough,female,18-24,0
The Backrooms,male,35-39,0
The Riders,female,40-44,0
The Land of Nod,male,30-34,0
Marty Supreme,male,40-44,0
Checkmate,male,25-29,0
Peaked,male,18-24,0
Victorian Psycho,female,40-44,0
Huntington,male,30-34,0
Victorian Psycho,female,35-39,0
The Wrong Girls,male,45-49,0
Altar,male,18-24,0
The Moment,female,30-34,0
Huntington,female,30-34,0
The Land of Nod,female,25-29,0
I Love Boosters,female,30-34,0
Onslaught,female,25-29,0
